name,address,wifi
居酒屋 鬼さん 久茂地店,沖縄県那覇市久茂地３-１２-４　ラフテビルB1,未確認
島人の宝 北7店,北海道札幌市東区北７条東３　1番地,未確認
焼肉レストラン ロインズ ROINS 久茂地店,沖縄県那覇市久茂地２－６－１６　１F,あり
粋な和食や うさく 魚咲,沖縄県那覇市牧志１-1-39　ステップビル　2F-B,あり
しゃんぐりら 浦添店,沖縄県浦添市港川１－２－６　2F,あり
ヒカリ Kitchen キッチン,沖縄県沖縄市与儀３-21-20 マンション伊波103号,未確認
龍泉 ラゾーナ川崎店,神奈川県川崎市幸区堀川町７２‐１　ラゾーナ川崎プラザ４Ｆ,なし
日本酒×串焼き 亜炉麻 aroma,沖縄県那覇市おもろまち４-9-10　ブギービル２F,あり
大衆炉まん,沖縄県糸満市糸満989-31,あり
琉宮ダイニング 亀千人 久茂地店,沖縄県那覇市久茂地３-12-1第一久茂地ビル3F,あり
沖縄×炭焼きバル 中む,東京都世田谷区船橋１-12-13　新田ビル1-B,あり
COBY 那覇 久茂地店,沖縄県那覇市久茂地３－９－７　パーム久茂地ビル１F,あり
炭火網焼きジンギスカン 羊蹄山,沖縄県那覇市牧志１-3-11　花笠楼ビル１Ｆ,あり
琉球居酒屋 赤瓦,大阪府池田市石橋３－４－７,なし
うみんちゅぬ やまんちゅぬ 北大前店,北海道札幌市北区北１４条西３丁目ゼウスビル1F,未確認
ピースマンチーズ Peace Munchies,沖縄県那覇市安里１－１－５８　光生ビル２F,あり
酒仙炭焼 ちどり,沖縄県那覇市久茂地２-17-19,あり
博多もつ鍋 じろう桜,沖縄県那覇市松山１－６－１８　美人ビル１F,あり
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
炭火屋 居酒屋 しゃらく,沖縄県那覇市おもろまち４－７－２６　Kudaおもろまちビル１F１０１号,あり
焼肉レストランロインズ 松山店,沖縄県那覇市松山２-10-13,あり
海鮮 和牛居酒屋 強者 久茂地店,沖縄県那覇市久茂地２-12-1,あり
鰓呼吸 那覇久茂地店,沖縄県那覇市久茂地２-6-16,あり
地酒と炙りの 火人粋,沖縄県那覇市久茂地３－１２－１８,あり
SLOWLIFE スローライフ cafe&bar,沖縄県宜野湾市宇地泊616　２Ｆ,あり
肉割烹 にく久,沖縄県那覇市久茂地３-12-1 第一久茂地ビル1F,未確認
あぶり焼 備長,沖縄県那覇市上之屋１-20-9 富士屋オーシャンビル104,あり
バル コラボ 那覇新都心,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,あり
沖縄料理 琉球むら,千葉県成田市花崎町736 開運ビル3F-5,あり
あぐーの隠れ家 北谷店,沖縄県中頭郡北谷町美浜２‐２‐２,あり
